Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\838,19,18,6,5,13
G:/ReqProject/gitprojects/project\840,5,2,4,1,1
G:/ReqProject/gitprojects/project\843,18,12,18,12,0
G:/ReqProject/gitprojects/project\844,37,38,37,38,0
G:/ReqProject/gitprojects/project\846,1,4,1,4,0
G:/ReqProject/gitprojects/project\849,7,1,6,0,1
G:/ReqProject/gitprojects/project\851,9,2,7,0,2
G:/ReqProject/gitprojects/project\853,2,1,1,0,1
G:/ReqProject/gitprojects/project\854,1,1,0,0,1
G:/ReqProject/gitprojects/project\859,73,4,71,2,2
G:/ReqProject/gitprojects/project\860,18,12,10,4,8
G:/ReqProject/gitprojects/project\865,18,2,16,0,2
G:/ReqProject/gitprojects/project\867,1,2,1,2,0
G:/ReqProject/gitprojects/project\868,1,1,0,0,1
G:/ReqProject/gitprojects/project\869,5,8,1,4,4
G:/ReqProject/gitprojects/project\873,3,2,1,0,2
G:/ReqProject/gitprojects/project\874,4,2,2,0,2
G:/ReqProject/gitprojects/project\877,1,3,0,2,1
G:/ReqProject/gitprojects/project\878,3,2,1,0,2
G:/ReqProject/gitprojects/project\881,1,1,0,0,1
G:/ReqProject/gitprojects/project\885,21,5,16,0,5
G:/ReqProject/gitprojects/project\886,1,1,0,0,1
G:/ReqProject/gitprojects/project\888,36,3,34,1,2
G:/ReqProject/gitprojects/project\889,2,2,1,1,1
G:/ReqProject/gitprojects/project\890,3,2,1,0,2
G:/ReqProject/gitprojects/project\891,8,2,6,0,2
G:/ReqProject/gitprojects/project\892,3,3,1,1,2
G:/ReqProject/gitprojects/project\893,29,4,25,0,4
G:/ReqProject/gitprojects/project\894,15,3,12,0,3
G:/ReqProject/gitprojects/project\895,2,2,1,1,1
G:/ReqProject/gitprojects/project\896,24,7,18,1,6
G:/ReqProject/gitprojects/project\898,6,5,3,2,3
G:/ReqProject/gitprojects/project\901,20,7,13,0,7
G:/ReqProject/gitprojects/project\902,3,3,1,1,2
G:/ReqProject/gitprojects/project\903,3,1,2,0,1
G:/ReqProject/gitprojects/project\907,8,6,5,3,3
G:/ReqProject/gitprojects/project\908,3,3,0,0,3
G:/ReqProject/gitprojects/project\909,2,1,1,0,1
G:/ReqProject/gitprojects/project\912,10,5,6,1,4
G:/ReqProject/gitprojects/project\915,12,6,6,0,6
G:/ReqProject/gitprojects/project\916,65,12,56,3,9
G:/ReqProject/gitprojects/project\918,2,1,1,0,1
G:/ReqProject/gitprojects/project\924,17,3,14,0,3
G:/ReqProject/gitprojects/project\925,11,7,6,2,5
G:/ReqProject/gitprojects/project\926,0,1,0,1,0
G:/ReqProject/gitprojects/project\929,2,4,0,2,2
G:/ReqProject/gitprojects/project\931,4,2,2,0,2
G:/ReqProject/gitprojects/project\933,3,6,0,3,3
G:/ReqProject/gitprojects/project\935,3,6,1,4,2
G:/ReqProject/gitprojects/project\938,5,5,0,0,5
G:/ReqProject/gitprojects/project\940,16,6,11,1,5
G:/ReqProject/gitprojects/project\942,3,2,1,0,2
G:/ReqProject/gitprojects/project\943,3,2,1,0,2
G:/ReqProject/gitprojects/project\945,3,4,1,2,2
G:/ReqProject/gitprojects/project\946,24,1,23,0,1
G:/ReqProject/gitprojects/project\951,5,19,1,15,4
G:/ReqProject/gitprojects/project\954,2,4,0,2,2
G:/ReqProject/gitprojects/project\955,18,16,5,3,13
G:/ReqProject/gitprojects/project\957,5,4,3,2,2
G:/ReqProject/gitprojects/project\962,19,4,15,0,4
G:/ReqProject/gitprojects/project\963,5,3,4,2,1
G:/ReqProject/gitprojects/project\965,4,5,1,2,3
G:/ReqProject/gitprojects/project\969,1,1,1,1,0
G:/ReqProject/gitprojects/project\971,5,1,5,1,0
G:/ReqProject/gitprojects/project\973,5,1,4,0,1
G:/ReqProject/gitprojects/project\974,2,1,1,0,1
G:/ReqProject/gitprojects/project\975,5,4,2,1,3
G:/ReqProject/gitprojects/project\978,2,1,1,0,1
G:/ReqProject/gitprojects/project\979,3,2,1,0,2
G:/ReqProject/gitprojects/project\980,2,2,0,0,2
G:/ReqProject/gitprojects/project\983,2,2,0,0,2
G:/ReqProject/gitprojects/project\984,20,7,16,3,4
G:/ReqProject/gitprojects/project\987,1,4,1,4,0
G:/ReqProject/gitprojects/project\988,13,4,9,0,4
G:/ReqProject/gitprojects/project\989,6,7,2,3,4
G:/ReqProject/gitprojects/project\990,14,13,6,5,8
G:/ReqProject/gitprojects/project\991,1,1,0,0,1
G:/ReqProject/gitprojects/project\993,63,21,44,2,19
G:/ReqProject/gitprojects/project\999,10,4,6,0,4
